,id,num_tweets_con_rt,index
121,politifact14878,96,121
122,politifact14112,161,122
123,politifact15137,52,123
124,politifact14043,41,124
125,politifact14265,31,125
126,politifact14384,195,126
127,politifact14949,7,127
128,politifact14145,7,128
129,politifact14888,67,129
130,politifact14095,38,130
131,politifact15584,6,131
132,politifact15018,25,132
133,politifact15206,127,133
134,politifact14534,127,134
135,politifact15097,7,135
136,politifact14595,10,136
137,politifact13978,9,137
138,politifact14543,9,138
139,politifact15501,222,139
140,politifact13893,78,140
141,politifact14756,9,141
142,politifact15270,68,142
143,politifact15532,15,143
144,politifact15534,22,144
145,politifact15191,122,145
146,politifact14490,122,146
147,politifact14698,42,147
148,politifact14406,16,148
149,politifact13973,141,149
150,politifact15409,20,150
151,politifact14040,6,151
152,politifact14750,146,152
153,politifact14771,327,153
154,politifact13467,10,154
155,politifact15539,15,155
156,politifact14932,15,156
157,politifact14993,10,157
158,politifact15486,18,158
159,politifact15399,99,159
160,politifact15298,57,160
161,politifact14927,7,161
162,politifact15427,32,162
163,politifact13541,32,163
164,politifact15604,60,164
165,politifact15341,31,165
166,politifact14516,23,166
167,politifact14666,25,167
168,politifact15416,23,168
169,politifact14452,117,169
170,politifact15423,6,170
171,politifact14794,9,171
172,politifact15362,9,172
173,politifact15456,11,173
174,politifact13663,16,174
175,politifact13584,12,175
176,politifact15540,9,176
177,politifact14333,18,177
178,politifact15573,230,178
179,politifact13957,16,179
180,politifact14166,11,180
181,politifact14643,38,181
182,politifact14841,49,182
183,politifact15158,49,183
184,politifact13816,49,184
185,politifact14827,80,185
186,politifact14596,174,186
187,politifact14469,9,187
188,politifact13724,13,188
189,politifact15404,13,189
190,politifact13559,127,190
191,politifact14213,31,191
192,politifact13897,29,192
193,politifact14887,21,193
194,politifact15487,21,194
195,politifact11773,14,195
196,politifact14270,18,196
197,politifact13823,23,197
198,politifact14920,565,198
199,politifact13751,10,199
200,politifact14840,51,200
201,politifact14119,6,201
202,politifact15514,19,202
203,politifact14472,14,203
204,politifact14447,10,204
205,politifact14893,8,205
206,politifact14063,8,206
207,politifact15401,127,207
208,politifact13820,83,208
209,politifact15135,109,209
210,politifact15201,91,210
211,politifact14090,15,211
212,politifact15210,38,212
213,politifact13711,60,213
214,politifact13854,41,214
215,politifact14247,68,215
216,politifact15268,28,216
217,politifact15334,100,217
218,politifact15554,6,218
219,politifact15599,54,219
220,politifact13496,56,220
221,politifact13576,26,221
222,politifact14810,65,222
223,politifact14749,59,223
224,politifact14880,22,224
225,politifact14448,14,225
226,politifact14408,33,226
227,politifact14289,83,227
228,politifact15606,68,228
229,politifact13720,10,229
230,politifact15347,10,230
231,politifact15095,28,231
232,politifact13698,16,232
233,politifact14770,46,233
234,politifact13815,27,234
235,politifact14668,27,235
236,politifact15246,14,236
237,politifact14330,17,237
238,politifact15477,14,238
239,politifact15292,14,239
240,politifact13921,17,240
241,politifact15592,17,241
242,politifact15545,18,242
243,politifact15379,7,243
244,politifact13570,7,244
245,politifact15017,41,245
246,politifact13617,28,246
247,politifact15037,21,247
248,politifact14144,195,248
249,politifact15304,17,249
250,politifact14908,120,250
251,politifact15570,10,251
252,politifact15141,166,252
253,politifact15147,203,253
254,politifact15562,312,254
255,politifact14667,2608,255
256,politifact15188,14,256
257,politifact15505,17,257
258,politifact14169,8,258
259,politifact13766,11,259
260,politifact13475,182,260
261,politifact15356,15,261
262,politifact14998,10,262
263,politifact14071,29,263
264,politifact13560,8,264
