Id,Source,Target,Weight,Type
136,93,98,4,Undirected
137,94,95,3,Undirected
138,94,96,3,Undirected
139,94,97,3,Undirected
140,94,98,3,Undirected
141,95,96,3,Undirected
142,95,97,3,Undirected
143,95,98,4,Undirected
144,96,97,3,Undirected
145,96,98,3,Undirected
146,97,98,3,Undirected
147,99,100,1,Undirected
148,101,102,1,Undirected
149,103,104,1,Undirected
150,103,105,1,Undirected
151,104,105,1,Undirected
152,106,107,1,Undirected
153,106,108,1,Undirected
154,107,108,1,Undirected
155,109,110,1,Undirected
156,12,111,1,Undirected
157,12,112,1,Undirected
158,12,17,1,Undirected
159,12,113,1,Undirected
160,111,112,1,Undirected
161,111,17,1,Undirected
162,111,113,1,Undirected
163,112,17,1,Undirected
164,112,113,1,Undirected
165,17,113,1,Undirected
166,114,115,1,Undirected
167,116,117,1,Undirected
168,118,119,1,Undirected
169,120,121,1,Undirected
170,122,123,4,Undirected
171,122,124,1,Undirected
172,123,124,1,Undirected
173,125,126,2,Undirected
174,127,128,1,Undirected
175,127,129,1,Undirected
176,127,130,1,Undirected
177,128,129,1,Undirected
178,128,130,1,Undirected
179,129,130,1,Undirected
180,131,132,1,Undirected
181,133,134,1,Undirected
182,133,135,2,Undirected
183,133,136,1,Undirected
184,133,137,1,Undirected
185,134,135,1,Undirected
186,134,136,1,Undirected
187,134,137,1,Undirected
188,135,136,1,Undirected
189,135,137,1,Undirected
190,136,137,1,Undirected
191,138,139,1,Undirected
192,0,140,1,Undirected
193,0,141,1,Undirected
194,140,141,1,Undirected
195,142,38,1,Undirected
196,142,143,1,Undirected
197,142,144,1,Undirected
198,142,145,1,Undirected
199,142,146,1,Undirected
200,142,147,1,Undirected
201,142,148,1,Undirected
202,142,35,1,Undirected
203,142,0,1,Undirected
204,142,149,1,Undirected
205,142,150,1,Undirected
206,142,151,1,Undirected
207,38,143,1,Undirected
208,38,144,1,Undirected
209,38,145,1,Undirected
210,38,146,1,Undirected
211,38,147,1,Undirected
212,38,148,1,Undirected
213,38,35,1,Undirected
214,38,0,1,Undirected
215,38,149,1,Undirected
216,38,150,1,Undirected
217,38,151,1,Undirected
218,143,144,1,Undirected
219,143,145,1,Undirected
220,143,146,1,Undirected
221,143,147,1,Undirected
222,143,148,1,Undirected
223,143,35,1,Undirected
224,143,0,1,Undirected
225,143,149,1,Undirected
226,143,150,1,Undirected
227,143,151,1,Undirected
228,144,145,1,Undirected
229,144,146,1,Undirected
230,144,147,1,Undirected
231,144,148,1,Undirected
232,144,35,1,Undirected
233,144,0,1,Undirected
234,144,149,1,Undirected
235,144,150,1,Undirected
236,144,151,1,Undirected
237,145,146,1,Undirected
238,145,147,1,Undirected
239,145,148,1,Undirected
240,145,35,1,Undirected
241,145,0,1,Undirected
242,145,149,1,Undirected
243,145,150,1,Undirected
244,145,151,1,Undirected
245,146,147,1,Undirected
246,146,148,1,Undirected
247,146,35,1,Undirected
248,146,0,1,Undirected
249,146,149,1,Undirected
250,146,150,1,Undirected
251,146,151,1,Undirected
252,147,148,1,Undirected
253,147,35,1,Undirected
254,147,0,1,Undirected
255,147,149,1,Undirected
256,147,150,1,Undirected
257,147,151,1,Undirected
258,148,35,1,Undirected
259,148,0,1,Undirected
260,148,149,1,Undirected
261,148,150,1,Undirected
262,148,151,1,Undirected
263,35,0,2,Undirected
264,35,149,1,Undirected
265,35,150,1,Undirected
266,35,151,2,Undirected
267,0,149,1,Undirected
268,0,150,1,Undirected
269,0,151,1,Undirected
270,149,150,1,Undirected
271,149,151,1,Undirected
272,150,151,1,Undirected
273,152,153,1,Undirected
274,154,155,2,Undirected
275,156,157,1,Undirected
276,156,158,1,Undirected
277,156,159,3,Undirected
278,157,158,1,Undirected
279,157,159,1,Undirected
280,158,159,2,Undirected
281,160,161,1,Undirected
282,160,162,1,Undirected
283,160,163,1,Undirected
284,160,164,1,Undirected
285,161,162,2,Undirected
286,161,163,1,Undirected
287,161,164,1,Undirected
288,162,163,1,Undirected
289,162,164,1,Undirected
290,163,164,1,Undirected
291,165,166,1,Undirected
292,167,168,1,Undirected
293,169,170,1,Undirected
294,171,172,1,Undirected
295,173,174,1,Undirected
296,35,175,1,Undirected
297,176,177,1,Undirected
298,178,179,1,Undirected
299,180,74,1,Undirected
300,181,104,1,Undirected
301,181,182,1,Undirected
302,181,183,1,Undirected
303,181,184,1,Undirected
304,104,182,1,Undirected
305,104,183,1,Undirected
306,104,184,1,Undirected
307,182,183,1,Undirected
308,182,184,1,Undirected
309,183,184,1,Undirected
310,142,185,1,Undirected
311,142,186,1,Undirected
312,142,187,1,Undirected
313,142,188,1,Undirected
314,185,186,1,Undirected
315,185,187,1,Undirected
316,185,188,1,Undirected
317,186,187,1,Undirected
318,186,188,1,Undirected
319,187,188,1,Undirected
320,189,190,1,Undirected
321,189,191,1,Undirected
322,190,191,1,Undirected
323,192,193,2,Undirected
324,194,195,1,Undirected
325,196,197,1,Undirected
326,196,198,1,Undirected
327,196,199,1,Undirected
328,197,198,1,Undirected
329,197,199,2,Undirected
330,198,199,1,Undirected
331,200,201,1,Undirected
332,60,202,1,Undirected
333,60,203,1,Undirected
334,202,203,1,Undirected
335,204,205,1,Undirected
336,204,206,1,Undirected
337,204,207,1,Undirected
338,205,206,1,Undirected
339,205,207,1,Undirected
340,206,207,1,Undirected
341,208,209,1,Undirected
342,208,210,1,Undirected
343,209,210,1,Undirected
344,211,212,1,Undirected
345,211,213,1,Undirected
346,212,213,1,Undirected
347,214,215,1,Undirected
348,216,217,1,Undirected
349,218,219,1,Undirected
350,220,81,1,Undirected
351,220,221,1,Undirected
352,81,221,1,Undirected
353,222,223,1,Undirected
354,222,9,1,Undirected
355,222,224,1,Undirected
356,222,225,1,Undirected
357,223,9,1,Undirected
358,223,224,1,Undirected
359,223,225,1,Undirected
360,9,224,1,Undirected
361,9,225,1,Undirected
362,224,225,1,Undirected
363,226,227,1,Undirected
364,226,228,1,Undirected
365,226,229,1,Undirected
366,226,230,1,Undirected
367,227,228,1,Undirected
368,227,229,1,Undirected
369,227,230,1,Undirected
370,228,229,1,Undirected
371,228,230,2,Undirected
372,229,230,1,Undirected
373,231,232,1,Undirected
374,231,233,1,Undirected
375,231,234,1,Undirected
376,231,136,1,Undirected
377,231,235,1,Undirected
378,231,236,1,Undirected
379,232,233,2,Undirected
380,232,234,1,Undirected
381,232,136,1,Undirected
382,232,235,2,Undirected
383,232,236,1,Undirected
384,233,234,1,Undirected
385,233,136,1,Undirected
386,233,235,2,Undirected
387,233,236,1,Undirected
388,234,136,1,Undirected
389,234,235,1,Undirected
390,234,236,1,Undirected
391,136,235,1,Undirected
392,136,236,1,Undirected
393,235,236,1,Undirected
394,84,237,1,Undirected
395,84,238,1,Undirected
396,237,238,1,Undirected
397,239,240,1,Undirected
398,241,242,1,Undirected
399,243,244,2,Undirected
400,243,245,2,Undirected
401,243,246,3,Undirected
402,244,245,1,Undirected
403,244,246,3,Undirected
404,245,246,2,Undirected
405,247,248,1,Undirected
406,247,249,1,Undirected
407,247,250,1,Undirected
408,247,251,1,Undirected
409,247,252,1,Undirected
410,248,249,1,Undirected
411,248,250,1,Undirected
412,248,251,1,Undirected
413,248,252,1,Undirected
414,249,250,1,Undirected
415,249,251,1,Undirected
416,249,252,1,Undirected
417,250,251,1,Undirected
418,250,252,1,Undirected
419,251,252,1,Undirected
420,253,254,20,Undirected
421,253,255,1,Undirected
422,254,255,1,Undirected
423,256,230,1,Undirected
424,257,256,1,Undirected
425,257,258,1,Undirected
426,256,258,1,Undirected
427,259,260,2,Undirected
428,261,262,2,Undirected
429,261,263,1,Undirected
430,261,264,1,Undirected
431,261,265,1,Undirected
432,262,263,1,Undirected
433,262,264,1,Undirected
434,262,265,1,Undirected
435,263,264,1,Undirected
436,263,265,1,Undirected
437,264,265,1,Undirected
438,266,267,1,Undirected
439,266,268,1,Undirected
440,266,269,1,Undirected
441,267,268,1,Undirected
442,267,269,1,Undirected
443,268,269,1,Undirected
444,270,271,1,Undirected
445,270,272,1,Undirected
446,270,273,1,Undirected
447,271,272,2,Undirected
448,271,273,1,Undirected
449,272,273,1,Undirected
450,274,275,1,Undirected
451,85,276,1,Undirected
452,85,277,1,Undirected
453,85,278,1,Undirected
454,85,279,1,Undirected
455,276,277,1,Undirected
456,276,278,1,Undirected
457,276,279,1,Undirected
458,277,278,1,Undirected
459,277,279,1,Undirected
460,278,279,1,Undirected
461,280,129,1,Undirected
462,280,38,1,Undirected
463,129,38,1,Undirected
464,260,281,1,Undirected
465,260,282,1,Undirected
466,260,283,1,Undirected
467,281,282,1,Undirected
468,281,283,1,Undirected
469,282,283,1,Undirected
470,284,285,1,Undirected
471,284,286,1,Undirected
472,285,286,1,Undirected
473,287,288,1,Undirected
474,287,289,1,Undirected
475,288,289,1,Undirected
476,290,291,2,Undirected
477,277,141,1,Undirected
478,277,292,1,Undirected
479,141,292,1,Undirected
480,293,55,1,Undirected
481,293,294,2,Undirected
482,293,295,1,Undirected
483,55,294,1,Undirected
484,55,295,1,Undirected
485,294,295,1,Undirected
486,296,259,1,Undirected
487,296,297,1,Undirected
488,296,298,1,Undirected
489,296,299,1,Undirected
490,259,297,1,Undirected
491,259,298,1,Undirected
492,259,299,1,Undirected
493,297,298,1,Undirected
494,297,299,1,Undirected
495,298,299,1,Undirected
496,300,180,2,Undirected
497,301,302,1,Undirected
498,301,303,1,Undirected
499,302,303,1,Undirected
500,304,186,2,Undirected
501,304,8,1,Undirected
502,186,8,1,Undirected
503,142,305,1,Undirected
504,142,306,1,Undirected
505,305,306,1,Undirected
506,308,309,1,Undirected
507,310,311,1,Undirected
508,310,213,1,Undirected
509,310,309,1,Undirected
510,311,213,1,Undirected
511,311,309,1,Undirected
512,213,309,1,Undirected
513,74,312,1,Undirected
514,313,314,1,Undirected
515,313,298,1,Undirected
516,313,315,1,Undirected
517,314,298,1,Undirected
518,314,315,1,Undirected
519,298,315,1,Undirected
520,316,317,2,Undirected
521,316,287,1,Undirected
522,316,205,1,Undirected
523,317,287,1,Undirected
524,317,205,1,Undirected
525,287,205,1,Undirected
526,318,319,7,Undirected
527,320,321,1,Undirected
528,322,323,1,Undirected
529,322,324,1,Undirected
530,323,324,1,Undirected
531,325,326,1,Undirected
532,325,327,1,Undirected
533,326,327,1,Undirected
534,56,328,1,Undirected
535,56,329,1,Undirected
536,56,330,1,Undirected
537,328,329,1,Undirected
538,328,330,1,Undirected
539,329,330,2,Undirected
540,284,331,1,Undirected
541,332,256,1,Undirected
542,332,333,1,Undirected
543,332,334,1,Undirected
544,256,333,1,Undirected
545,256,334,1,Undirected
546,333,334,1,Undirected
547,281,335,1,Undirected
548,281,336,1,Undirected
549,281,337,1,Undirected
550,281,171,1,Undirected
551,281,338,1,Undirected
552,335,336,1,Undirected
553,335,337,1,Undirected
554,335,171,1,Undirected
555,335,338,1,Undirected
556,336,337,1,Undirected
557,336,171,1,Undirected
558,336,338,1,Undirected
559,337,171,1,Undirected
560,337,338,2,Undirected
561,171,338,2,Undirected
562,339,340,1,Undirected
563,341,112,2,Undirected
564,342,210,1,Undirected
565,343,344,1,Undirected
566,343,158,1,Undirected
567,343,345,1,Undirected
568,343,346,1,Undirected
569,343,347,1,Undirected
570,343,348,1,Undirected
571,343,349,1,Undirected
572,344,158,1,Undirected
573,344,345,1,Undirected
574,344,346,1,Undirected
575,344,347,1,Undirected
576,344,348,1,Undirected
577,344,349,1,Undirected
578,158,345,1,Undirected
579,158,346,1,Undirected
580,158,347,1,Undirected
581,158,348,1,Undirected
582,158,349,1,Undirected
583,345,346,1,Undirected
584,345,347,1,Undirected
585,345,348,1,Undirected
586,345,349,1,Undirected
587,346,347,1,Undirected
588,346,348,1,Undirected
589,346,349,3,Undirected
590,347,348,1,Undirected
591,347,349,1,Undirected
592,348,349,1,Undirected
593,351,352,1,Undirected
594,353,15,1,Undirected
595,354,355,1,Undirected
596,354,211,1,Undirected
597,354,356,1,Undirected
598,354,357,1,Undirected
599,354,358,1,Undirected
600,354,359,1,Undirected
601,355,211,1,Undirected
602,355,356,1,Undirected
603,355,357,1,Undirected
604,355,358,1,Undirected
605,355,359,1,Undirected
606,211,356,1,Undirected
607,211,357,1,Undirected
608,211,358,2,Undirected
609,211,359,1,Undirected
610,356,357,1,Undirected
611,356,358,1,Undirected
612,356,359,1,Undirected
613,357,358,1,Undirected
614,357,359,1,Undirected
615,358,359,1,Undirected
616,360,361,1,Undirected
617,362,363,1,Undirected
618,362,364,1,Undirected
619,363,364,1,Undirected
620,365,366,1,Undirected
621,365,367,1,Undirected
622,365,23,1,Undirected
623,365,368,1,Undirected
624,366,367,2,Undirected
625,366,23,2,Undirected
626,366,368,1,Undirected
627,367,23,1,Undirected
628,367,368,1,Undirected
629,23,368,1,Undirected
630,369,370,1,Undirected
631,371,372,1,Undirected
632,371,9,1,Undirected
633,371,165,1,Undirected
634,371,373,1,Undirected
635,372,9,1,Undirected
636,372,165,1,Undirected
637,372,373,1,Undirected
638,9,165,1,Undirected
639,9,373,1,Undirected
640,165,373,1,Undirected
641,374,375,1,Undirected
642,374,376,1,Undirected
643,374,377,1,Undirected
644,375,376,1,Undirected
645,375,377,1,Undirected
646,376,377,1,Undirected
647,378,379,1,Undirected
648,311,112,1,Undirected
649,380,381,1,Undirected
650,382,383,1,Undirected
651,384,385,1,Undirected
652,384,386,1,Undirected
653,385,386,1,Undirected
654,387,388,1,Undirected
655,390,391,1,Undirected
656,390,392,1,Undirected
657,391,392,1,Undirected
658,393,394,1,Undirected
659,395,396,4,Undirected
660,328,397,1,Undirected
661,328,398,1,Undirected
662,328,312,1,Undirected
663,328,399,1,Undirected
664,328,400,1,Undirected
665,328,35,1,Undirected
666,328,139,1,Undirected
667,328,401,1,Undirected
668,328,402,1,Undirected
669,397,398,1,Undirected
670,397,312,1,Undirected
671,397,399,1,Undirected
672,397,400,1,Undirected
673,397,35,1,Undirected
674,397,139,1,Undirected
675,397,401,1,Undirected
676,397,402,2,Undirected
677,398,312,1,Undirected
678,398,399,1,Undirected
679,398,400,1,Undirected
680,398,35,1,Undirected
681,398,139,1,Undirected
682,398,401,1,Undirected
683,398,402,1,Undirected
684,312,399,1,Undirected
685,312,400,1,Undirected
686,312,35,1,Undirected
687,312,139,1,Undirected
688,312,401,1,Undirected
689,312,402,1,Undirected
690,399,400,1,Undirected
691,399,35,1,Undirected
692,399,139,1,Undirected
693,399,401,1,Undirected
694,399,402,1,Undirected
695,400,35,1,Undirected
696,400,139,1,Undirected
697,400,401,1,Undirected
698,400,402,2,Undirected
699,35,139,2,Undirected
700,35,401,2,Undirected
701,35,402,1,Undirected
702,139,401,1,Undirected
703,139,402,1,Undirected
704,401,402,1,Undirected
705,403,49,1,Undirected
706,404,405,1,Undirected
707,404,406,1,Undirected
708,404,407,2,Undirected
709,404,408,1,Undirected
710,405,406,1,Undirected
711,405,407,1,Undirected
712,405,408,1,Undirected
713,406,407,1,Undirected
714,406,408,1,Undirected
715,407,408,1,Undirected
716,409,410,9,Undirected
717,409,411,4,Undirected
718,409,412,6,Undirected
719,409,413,3,Undirected
720,410,411,6,Undirected
721,410,412,8,Undirected
722,410,413,2,Undirected
723,411,412,5,Undirected
724,411,413,2,Undirected
725,412,413,4,Undirected
726,414,415,1,Undirected
727,416,417,1,Undirected
728,418,419,1,Undirected
729,418,420,1,Undirected
730,418,421,1,Undirected
731,418,422,1,Undirected
732,418,423,1,Undirected
733,419,420,2,Undirected
734,419,421,1,Undirected
735,419,422,2,Undirected
736,419,423,2,Undirected
737,420,421,1,Undirected
738,420,422,3,Undirected
739,420,423,1,Undirected
740,421,422,1,Undirected
741,421,423,1,Undirected
742,422,423,1,Undirected
743,253,424,1,Undirected
744,253,425,14,Undirected
745,253,426,2,Undirected
746,253,427,1,Undirected
747,253,8,1,Undirected
748,253,428,1,Undirected
749,253,429,1,Undirected
750,253,430,1,Undirected
751,424,425,1,Undirected
752,424,426,1,Undirected
753,424,427,1,Undirected
754,424,8,1,Undirected
755,424,254,1,Undirected
756,424,428,1,Undirected
757,424,429,1,Undirected
758,424,430,1,Undirected
759,425,426,2,Undirected
760,425,427,1,Undirected
761,425,8,1,Undirected
762,425,254,17,Undirected
763,425,428,1,Undirected
764,425,429,1,Undirected
765,425,430,1,Undirected
766,426,427,1,Undirected
767,426,8,1,Undirected
768,426,254,2,Undirected
769,426,428,1,Undirected
770,426,429,2,Undirected
771,426,430,2,Undirected
772,427,8,1,Undirected
773,427,254,1,Undirected
774,427,428,1,Undirected
775,427,429,1,Undirected
776,427,430,1,Undirected
777,8,254,1,Undirected
778,8,428,1,Undirected
779,8,429,1,Undirected
780,8,430,1,Undirected
781,254,428,1,Undirected
782,254,429,1,Undirected
783,254,430,1,Undirected
784,428,429,1,Undirected
785,428,430,1,Undirected
786,429,430,1,Undirected
787,431,432,1,Undirected
788,431,433,1,Undirected
789,432,433,1,Undirected
790,434,435,1,Undirected
791,434,436,2,Undirected
792,435,436,1,Undirected
793,437,438,1,Undirected
794,437,439,1,Undirected
795,438,439,1,Undirected
796,440,441,1,Undirected
797,440,442,1,Undirected
798,441,442,1,Undirected
799,443,444,1,Undirected
800,443,440,1,Undirected
801,443,445,1,Undirected
802,443,446,1,Undirected
803,444,440,1,Undirected
804,444,445,1,Undirected
805,444,446,1,Undirected
806,440,445,1,Undirected
807,440,446,1,Undirected
808,445,446,1,Undirected
809,447,448,1,Undirected
810,447,131,1,Undirected
811,448,131,1,Undirected
812,366,449,1,Undirected
813,450,147,1,Undirected
814,451,138,3,Undirected
815,452,453,1,Undirected
816,454,455,1,Undirected
817,454,456,1,Undirected
818,454,338,1,Undirected
819,454,457,1,Undirected
820,454,458,1,Undirected
821,454,459,1,Undirected
822,455,456,1,Undirected
823,455,338,1,Undirected
824,455,457,1,Undirected
825,455,458,1,Undirected
826,455,459,1,Undirected
827,456,338,1,Undirected
828,456,457,1,Undirected
829,456,458,1,Undirected
830,456,459,1,Undirected
831,338,457,1,Undirected
832,338,458,1,Undirected
833,338,459,1,Undirected
834,457,458,1,Undirected
835,457,459,1,Undirected
836,458,459,1,Undirected
837,460,461,1,Undirected
838,462,463,1,Undirected
839,462,464,1,Undirected
840,463,464,1,Undirected
841,465,466,1,Undirected
842,230,467,1,Undirected
843,230,94,1,Undirected
844,467,94,1,Undirected
845,86,468,2,Undirected
846,86,469,1,Undirected
847,468,469,1,Undirected
848,470,471,1,Undirected
849,472,473,1,Undirected
850,474,475,1,Undirected
851,476,477,1,Undirected
852,478,479,1,Undirected
853,478,480,1,Undirected
854,479,480,1,Undirected
855,277,481,1,Undirected
856,482,483,6,Undirected
857,482,484,6,Undirected
858,482,485,7,Undirected
859,482,486,6,Undirected
860,482,487,6,Undirected
861,482,488,1,Undirected
862,483,484,6,Undirected
863,483,485,6,Undirected
864,483,486,6,Undirected
865,483,487,6,Undirected
866,483,488,1,Undirected
867,484,485,6,Undirected
868,484,486,7,Undirected
869,484,487,6,Undirected
870,484,488,1,Undirected
871,485,486,6,Undirected
872,485,487,6,Undirected
873,485,488,1,Undirected
874,486,487,6,Undirected
875,486,488,1,Undirected
876,487,488,1,Undirected
877,489,60,1,Undirected
878,490,212,1,Undirected
879,490,426,1,Undirected
880,212,426,1,Undirected
881,491,138,1,Undirected
882,492,493,2,Undirected
883,494,495,2,Undirected
884,494,496,1,Undirected
885,494,497,1,Undirected
886,495,496,1,Undirected
887,495,497,2,Undirected
888,496,497,1,Undirected
889,499,500,1,Undirected
890,499,501,1,Undirected
891,499,502,1,Undirected
892,499,121,1,Undirected
893,500,501,1,Undirected
894,500,502,1,Undirected
895,500,121,1,Undirected
896,501,502,1,Undirected
897,501,121,1,Undirected
898,502,121,1,Undirected
899,503,504,1,Undirected
900,503,505,1,Undirected
901,504,505,1,Undirected
902,506,135,1,Undirected
903,271,216,1,Undirected
904,507,508,1,Undirected
905,509,510,6,Undirected
906,509,511,7,Undirected
907,509,512,6,Undirected
908,510,511,8,Undirected
909,510,512,7,Undirected
910,511,512,8,Undirected
911,513,514,1,Undirected
912,327,250,1,Undirected
913,327,515,1,Undirected
914,327,516,1,Undirected
915,327,517,1,Undirected
916,250,515,1,Undirected
917,250,516,1,Undirected
918,250,517,1,Undirected
919,515,516,1,Undirected
920,515,517,1,Undirected
921,516,517,1,Undirected
922,518,146,1,Undirected
923,518,519,1,Undirected
924,146,519,1,Undirected
925,520,323,2,Undirected
926,520,521,1,Undirected
927,520,522,1,Undirected
928,520,523,1,Undirected
929,520,287,1,Undirected
930,520,524,1,Undirected
931,520,36,1,Undirected
932,520,525,1,Undirected
933,323,521,1,Undirected
934,323,522,1,Undirected
935,323,523,1,Undirected
936,323,287,1,Undirected
937,323,524,1,Undirected
938,323,36,1,Undirected
939,323,525,1,Undirected
940,521,522,1,Undirected
941,521,523,1,Undirected
942,521,287,1,Undirected
943,521,524,1,Undirected
944,521,36,1,Undirected
945,521,525,1,Undirected
946,522,523,1,Undirected
947,522,287,1,Undirected
948,522,524,1,Undirected
949,522,36,1,Undirected
950,522,525,1,Undirected
951,523,287,1,Undirected
952,523,524,1,Undirected
953,523,36,1,Undirected
954,523,525,1,Undirected
955,287,524,1,Undirected
956,287,36,1,Undirected
957,287,525,1,Undirected
958,524,36,1,Undirected
959,524,525,1,Undirected
960,36,525,1,Undirected
961,526,527,1,Undirected
962,526,528,1,Undirected
963,527,528,1,Undirected
964,529,191,1,Undirected
965,529,530,1,Undirected
966,529,326,1,Undirected
967,529,271,1,Undirected
968,529,272,1,Undirected
969,191,530,1,Undirected
970,191,326,1,Undirected
971,191,271,1,Undirected
972,191,272,1,Undirected
973,530,326,1,Undirected
974,530,271,1,Undirected
975,530,272,1,Undirected
976,326,271,1,Undirected
977,326,272,1,Undirected
978,531,532,1,Undirected
979,146,533,1,Undirected
980,534,535,1,Undirected
981,534,536,5,Undirected
982,535,536,1,Undirected
983,537,538,1,Undirected
984,537,539,1,Undirected
985,537,211,1,Undirected
986,537,540,1,Undirected
987,537,381,2,Undirected
988,537,263,1,Undirected
989,537,541,2,Undirected
990,537,542,1,Undirected
991,537,543,1,Undirected
992,538,539,1,Undirected
993,538,211,1,Undirected
994,538,540,1,Undirected
995,538,381,1,Undirected
996,538,263,1,Undirected
997,538,541,1,Undirected
998,538,542,1,Undirected
999,538,543,1,Undirected
1000,539,211,1,Undirected
1001,539,540,1,Undirected
1002,539,381,1,Undirected
1003,539,263,1,Undirected
1004,539,541,1,Undirected
1005,539,542,1,Undirected
1006,539,543,1,Undirected
1007,211,540,1,Undirected
1008,211,381,2,Undirected
1009,211,263,1,Undirected
1010,211,541,1,Undirected
1011,211,542,1,Undirected
1012,211,543,1,Undirected
1013,540,381,1,Undirected
1014,540,263,1,Undirected
1015,540,541,1,Undirected
1016,540,542,1,Undirected
1017,540,543,1,Undirected
1018,381,263,1,Undirected
1019,381,541,1,Undirected
1020,381,542,2,Undirected
1021,381,543,2,Undirected
1022,263,541,1,Undirected
1023,263,542,2,Undirected
1024,263,543,1,Undirected
1025,541,542,1,Undirected
1026,541,543,1,Undirected
1027,542,543,1,Undirected
1028,544,545,1,Undirected
1029,283,546,1,Undirected
1030,170,547,1,Undirected
1031,548,549,1,Undirected
1032,548,207,1,Undirected
1033,549,207,1,Undirected
1034,550,551,1,Undirected
1035,84,552,1,Undirected
1036,553,554,1,Undirected
1037,553,298,1,Undirected
1038,553,555,1,Undirected
1039,553,366,1,Undirected
1040,553,556,1,Undirected
1041,553,557,1,Undirected
1042,553,558,1,Undirected
1043,554,298,1,Undirected
1044,554,555,1,Undirected
1045,554,366,1,Undirected
1046,554,556,1,Undirected
1047,554,557,1,Undirected
1048,554,558,1,Undirected
1049,298,555,1,Undirected
1050,298,366,1,Undirected
1051,298,556,1,Undirected
1052,298,557,1,Undirected
1053,298,558,1,Undirected
1054,555,366,1,Undirected
1055,555,556,1,Undirected
1056,555,557,1,Undirected
1057,555,558,1,Undirected
1058,366,556,1,Undirected
1059,366,557,2,Undirected
1060,366,558,1,Undirected
1061,556,557,1,Undirected
1062,556,558,1,Undirected
1063,557,558,1,Undirected
1064,559,137,1,Undirected
1065,476,560,1,Undirected
1066,223,92,1,Undirected
1067,561,562,2,Undirected
1068,561,563,1,Undirected
